date,1. open,2. high,3. low,4. close,5. volume
2025-03-28 16:50:00,378.02,386.6738,367.6372,374.5025,318.0
2025-03-28 16:49:00,377.91,397.7147,377.7132,377.79,1234.0
2025-03-28 16:48:00,378.0,378.2,355.2675,377.94,321.0
2025-03-28 16:47:00,362.9725,378.2,362.9725,378.0,83.0
2025-03-28 16:46:00,378.2,387.9204,372.7539,377.95,413.0
2025-03-28 16:45:00,378.15,384.1194,377.2126,378.25,963.0
2025-03-28 16:44:00,378.15,378.15,374.5025,378.0,236.0
2025-03-28 16:43:00,378.0,378.15,377.5,378.1,356.0
2025-03-28 16:42:00,378.0,378.07,377.5,378.07,927.0
2025-03-28 16:41:00,377.9,378.0,377.58,377.75,183.0
2025-03-28 16:40:00,377.58,378.0,377.58,377.89,51.0
2025-03-28 16:39:00,378.0,378.0,377.58,377.605,106.0
2025-03-28 16:38:00,377.5,378.0,377.1907,377.75,324.0
2025-03-28 16:37:00,377.75,378.0,377.46,377.67,770.0
2025-03-28 16:36:00,377.69,378.0,377.5,377.628,825.0
2025-03-28 16:35:00,377.69,390.58,377.5,377.7,7515.0
2025-03-28 16:34:00,377.67,377.7,377.5,377.69,1241.0
2025-03-28 16:33:00,377.9,378.8,377.5,377.7,11498.0
2025-03-28 16:32:00,377.5,378.0,377.5,377.98,288.0
2025-03-28 16:31:00,377.75,378.0,377.5,378.0,155.0
2025-03-28 16:30:00,377.78,378.0,377.61,377.73,419.0
2025-03-28 16:29:00,377.85,378.0,377.62,378.0,458.0
2025-03-28 16:28:00,377.5,378.0,377.5,377.89,250.0
2025-03-28 16:27:00,377.99,378.0,377.75,377.8114,148.0
2025-03-28 16:26:00,377.75,378.0,377.65,377.75,429.0
2025-03-28 16:25:00,377.85,378.1,377.6,377.8,824.0
2025-03-28 16:24:00,378.15,378.15,377.5,378.1,159.0
2025-03-28 16:23:00,377.68,378.8,377.5,377.82,1500.0
2025-03-28 16:22:00,377.73,377.73,377.5,377.59,233.0
2025-03-28 16:21:00,377.46,377.73,377.16,377.73,67.0
2025-03-28 16:20:00,378.8,378.8,377.1946,377.7158,19318.0
2025-03-28 16:19:00,377.17,377.73,377.16,377.184,344.0
2025-03-28 16:18:00,377.91,378.15,377.16,377.74,2755.0
2025-03-28 16:17:00,378.35,378.35,377.79,378.08,589.0
2025-03-28 16:16:00,378.1,378.35,378.0,378.07,311.0
2025-03-28 16:15:00,378.0,378.8,377.876,378.175,22372.0
2025-03-28 16:14:00,378.08,378.8,377.99,377.99,3255.0
2025-03-28 16:13:00,378.055,378.8,377.75,378.05,1320.0
2025-03-28 16:12:00,378.0,378.45,377.89,378.16,246.0
2025-03-28 16:11:00,378.13,378.45,377.66,378.16,1255.0
2025-03-28 16:10:00,378.24,378.45,378.06,378.45,278.0
2025-03-28 16:09:00,378.39,378.8,377.93,378.225,4561.0
2025-03-28 16:08:00,378.78,378.78,378.25,378.285,1387.0
2025-03-28 16:07:00,378.185,378.8,378.08,378.4,406.0
2025-03-28 16:06:00,378.47,378.8,378.0117,378.2,12856.0
2025-03-28 16:05:00,378.3,379.7668,377.72,378.25,18777.0
2025-03-28 16:04:00,378.3,378.8,378.065,378.065,486283.0
2025-03-28 16:03:00,378.4,378.8,378.3,378.3,50311.0
2025-03-28 16:02:00,378.305,378.8,378.3,378.35,26102.0
2025-03-28 16:01:00,378.6,378.82,378.3,378.45,157307.0
2025-03-28 16:00:00,378.72,378.85,378.12,378.42,8611221.0
2025-03-28 15:59:00,379.11,379.11,378.57,378.82,694288.0
2025-03-28 15:58:00,379.25,379.29,378.99,379.085,223221.0
2025-03-28 15:57:00,379.24,379.54,379.24,379.24,169240.0
2025-03-28 15:56:00,379.42,379.42,379.04,379.25,153147.0
2025-03-28 15:55:00,378.95,379.49,378.78,379.435,196603.0
2025-03-28 15:54:00,378.005,380.0,378.005,378.86,209179.0
2025-03-28 15:53:00,378.0,378.13,377.95,378.03,90913.0
2025-03-28 15:52:00,377.905,378.02,377.74,378.0,60988.0
2025-03-28 15:51:00,377.78,378.07,377.75,377.885,70422.0
2025-03-28 15:50:00,377.74,378.45,377.72,377.75,103274.0
2025-03-28 15:49:00,377.89,377.89,377.665,377.7,54408.0
2025-03-28 15:48:00,377.775,377.88,377.62,377.86,43457.0
2025-03-28 15:47:00,377.61,377.83,377.57,377.77,58123.0
2025-03-28 15:46:00,377.655,377.72,377.59,377.6,42354.0
2025-03-28 15:45:00,377.755,377.795,377.59,377.7301,69057.0
2025-03-28 15:44:00,377.5185,377.755,377.4,377.71,43409.0
2025-03-28 15:43:00,377.38,377.6,377.36,377.555,61632.0
2025-03-28 15:42:00,377.46,377.5,377.27,377.41,44645.0
2025-03-28 15:41:00,377.46,377.51,377.35,377.43,49814.0
2025-03-28 15:40:00,377.4,377.47,377.25,377.44,46067.0
2025-03-28 15:39:00,377.25,377.43,377.25,377.43,53088.0
2025-03-28 15:38:00,377.2,377.43,377.2,377.31,57693.0
2025-03-28 15:37:00,377.11,377.31,377.1,377.1636,38787.0
2025-03-28 15:36:00,377.22,377.26,376.93,377.08,70448.0
2025-03-28 15:35:00,377.05,377.31,377.045,377.19,69894.0
2025-03-28 15:34:00,377.235,377.25,377.0288,377.05,48580.0
2025-03-28 15:33:00,377.38,377.4499,377.202,377.23,41271.0
2025-03-28 15:32:00,377.64,377.685,377.35,377.36,48839.0
2025-03-28 15:31:00,377.83,377.88,377.475,377.63,74904.0
2025-03-28 15:30:00,377.87,377.92,377.76,377.85,35447.0
2025-03-28 15:29:00,377.78,377.85,377.6906,377.7458,41840.0
2025-03-28 15:28:00,377.5935,377.79,377.57,377.79,26925.0
